gold_id	statement	R	A	B	reason_R	reason_A	reason_B
G-IE-084	Die Suchleiste der Profilübersicht soll gut sichtbar unter der Appbar platziert sein.	full	full	full	CAN-030: gut sichtbare Suchleiste unter der Appbar	Gut sichtbare Suchleiste unter Appbar ausdrücklich enthalten.	Gut sichtbare Suchleiste unter Appbar enthalten.
G-IE-085	Die Profilübersicht soll für jedes Profil ein Vorschaubild, den Namen und eine kurze Beschreibung anzeigen; die Profile werden unterhalb der Suchleiste angezeigt.	partial	full	partial	CAN-030 nennt Suchleiste und Profil-Vorschau (Bild/Name/Beschreibung ✓), drückt die v2-Positionsrelation 'Profile unterhalb der Suchleiste' aber nicht aus (Grenzfall #2)	Vorschaubild, Name, Kurzbeschreibung und Platzierung unter Suchleiste enthalten.	Bild, Name und Kurzbeschreibung enthalten; Platzierung der Profile unter Suchleiste nicht ausdrücklich angegeben.
G-IE-086	Ob die Profile in der Profilübersicht als Liste oder als Kacheln dargestellt werden, bleibt offen.	full	full	full	CAN-030: 'Liste oder Kacheln' als Optionen ✓, aber der OFFENHEITS-Status der Frage fehlt	Alternative Liste oder Kacheln ausdrücklich offen gehalten.	Liste beziehungsweise Kacheln bleiben als alternative Darstellungen erhalten.
G-IE-087	Neue Profile sollen über ein Plus-Symbol am unteren Bildschirmrand und einen Dialog mit Bild, Name und Beschreibung angelegt werden können.	partial	partial	partial	CAN-031: Anlegen mit Bild/Name/Beschreibung ✓, aber Plus-Symbol unten + Dialog fehlen	Profilanlage per Plus und Dialog enthalten; Position unten und drei Dialogfelder fehlen.	Plus-Dialog mit Bild, Name und Beschreibung enthalten; Position am unteren Bildschirmrand fehlt.
G-IE-088	Die Detailansicht eines ausgewählten Profils soll das Profilbild größer zeigen.	none	full	none	KEIN Claim zum größeren Profilbild in der Detailansicht — GENAU von Signal AU-0124 (missing_claim) gemeldet	Größeres Profilbild in Detailansicht ausdrücklich enthalten.	Profilvorschaubild vorhanden; größeres Bild in Detailansicht fehlt.
G-IE-089	Die Detailansicht eines Profils soll die vier Hauptbereiche der App als interaktive Buttons darstellen.	partial	partial	none	CAN-021: Bereiche existieren ✓ (aber nur drei genannt), interaktive Buttons in der Detailansicht fehlen	Interaktive Buttons zu Hauptbereichen enthalten; eindeutige Anzahl vier fehlt.	Keine Profil-Detailansicht mit vier interaktiven Bereichsbuttons beschrieben.
G-IE-090	Der verbale und der nonverbale Kommunikationsbereich sollen visuell durch Symbole voneinander unterschieden werden.	none	partial	none	KEIN Claim zur visuellen Unterscheidung durch Symbole	Visuelle Trennung enthalten; Symbole als Mittel fehlen.	Nur verbale/nonverbale Trennung, keine visuelle Unterscheidung; dieselbe Grenze wie Hauptlauf. A14 enthält dagegen explizit visuell.
G-IE-091	Der No-Go-Screen soll ein starkes visuelles Warnsymbol verwenden; ein rotes Stoppschild wird als mögliche Ausprägung genannt.	none	none	none	KEIN Claim zum Warnsymbol/Stoppschild	No-Go-Seite vorhanden; visuelles Warnsymbol fehlt.	No-Go-Seite vorhanden; visuelles Warnsymbol fehlt.
G-IE-092	No-Go-Einträge sollen einfach zu überblicken beziehungsweise zu durchforsten sein.	none	none	none	KEIN Claim zur Überblickbarkeit der No-Gos	No-Go-Inhalt vorhanden; einfaches Überblicken/Durchforsten nicht genannt.	No-Go-Liste vorhanden; einfaches Durchforsten nicht beschrieben.
G-IE-093	No-Go-Einträge sollen sich auf die wichtigsten Informationen beschränken.	none	none	none	KEIN Claim zur Beschränkung auf wichtigste Informationen	Beschränkung auf wichtigste No-Go-Informationen fehlt.	Beschränkung auf wichtigste Informationen fehlt.
G-IE-094	Ein Antippen eines Datums im Kalender soll Details zu Terminen oder Medikamentengaben öffnen.	none	full	none	KEIN Claim zum Datum-Antippen → Details	Antippen eines Datums öffnet Termin-/Medikamentendetails.	Terminkalender vorhanden; Datums-Tap und öffnende Details fehlen.
G-IE-095	Medikamentenerinnerungen sollen in der Kalenderansicht kenntlich gemacht werden; als mögliche Gestaltung werden kleine Icons oder Tags an den betreffenden Tagen vorgeschlagen.	none	partial	none	CAN-024 deckt Medikamente-im-Kalender (= G-013); der v2-Kern 'Erinnerungen kenntlich gemacht' (Icons/Tags als mögliche Gestaltung) fehlt	Tagbezogene Medikamenteneinträge sichtbar; Markierung von Medikamentenerinnerungen fehlt.	Medikamentengaben im Kalender decken G-013, aber keine visuelle Erinnerungsmarkierung. Gleiche Abgrenzung wie ursprünglicher Lauf.
G-IE-096	Der Settings-Screen soll abhängig von der Nutzerrolle eine differenzierte Ansicht beziehungsweise unterschiedliche Funktionen anbieten; für Admins sind dort das Hinzufügen von Accounts und das Anpassen von Rechten vorgesehen.	full	full	full	CAN-043 deckt auch die v2-Verortung: Admins sollen DORT (Einstellungsseite) Accounts hinzufügen und Rechte anpassen	Rollenspezifische Settings und beide Admin-Funktionen enthalten.	Rollenabhängige Settings und beide Admin-Funktionen enthalten.
G-IE-097	Jeder Nutzer soll sein eigenes Profil bearbeiten können.	full	full	full	CAN-043: Profil ändern	Jeder Nutzer kann eigenes Profil ändern.	Alle Nutzer dürfen eigenes Profil ändern.
G-IE-098	Jeder Nutzer soll persönliche Einstellungen wie die Sprache ändern können.	full	full	full	CAN-043: Sprache wählen	Jeder Nutzer kann allgemeine Einstellungen wie Sprache ändern.	Alle Nutzer dürfen Einstellungen wie Sprache ändern.
G-IE-099	Datenschutzeinstellungen sollen leicht zugänglich sein.	none	none	none	KEIN Claim zu leicht zugänglichen Datenschutzeinstellungen	Einstellungen allgemein vorhanden; leicht zugängliche Datenschutzeinstellungen fehlen.	Einstellungen allgemein vorhanden; leicht zugänglicher Datenschutzbereich fehlt.
G-IE-100	Beim ersten Login soll eine kurze Einführungstour durch die App angeboten werden.	full	full	full	CAN-044: kurze Tour beim ersten Login	Kurze Einführung beim ersten Login ausdrücklich enthalten.	Erstlogin-Einführung enthalten. Optional ist nach Autorenprüfung der Quelle könnte helfen im konkreten Entwurfsfall angemessen.
G-IE-101	Die App soll einen jederzeit wieder aufrufbaren Hilfebereich enthalten.	full	partial	full	CAN-044: erneut aufrufbarer Hilfebereich	Hilfefunktion vorhanden; jederzeitige Wiederaufrufbarkeit fehlt.	Später erneut aufrufbarer Hilfebereich enthalten. Optional ist nach Autorenprüfung der Quelle wäre sinnvoll im konkreten Entwurfsfall angemessen.
G-IE-102	Die App soll große Schrift verwenden.	full	full	full	CAN-045	Große Schrift ausdrücklich enthalten.	Große Schrift ausdrücklich enthalten.
G-IE-103	Die App soll ausreichenden Kontrast bieten.	full	full	full	CAN-045	Ausreichender Kontrast ausdrücklich enthalten.	Ausreichender Kontrast ausdrücklich enthalten.
G-IE-104	Die App soll nicht zu viele Farben verwenden.	full	full	full	CAN-045	Zurückhaltende Farbvielfalt sinngleich enthalten.	Zurückhaltende Farbverwendung sinngemäß enthalten.
G-IE-105	Animationen beziehungsweise zusätzliches Feedback sollen nicht in die App aufgenommen werden.	none	none	none	CAN-047: Verbots-Richtung ✓ (anders als F!), aber nur 'ablenkende' statt aller Animationen — Reichweite der Negation fehlt	Vermeidung ablenkender Animationen ersetzt keine Entscheidung gegen Animationen/Feedback insgesamt.	Vermeiden ablenkender Animationen ersetzt keine Ablehnung von Animationen/Feedback insgesamt.
G-IE-106	Ob Sprachbefehle oder alternative Eingabemethoden für beeinträchtigte Nutzer berücksichtigt werden, bleibt zu prüfen.	full	full	full	CAN-046	Alternative Eingabemethoden einschließlich Sprachbefehlen ausdrücklich zu prüfen.	Sprachbefehle/alternative Eingaben ausdrücklich zu prüfen.
G-IE-107	Falls Animationen oder zusätzliches Feedback dennoch eingesetzt werden, dürfen sie nicht zu ablenkend sein.	partial	partial	partial	CAN-047: ablenkende nicht einbauen ≡ falls doch, nicht ablenkend	Ablenkungsgrenze für Animationen enthalten; zusätzlicher Feedback-Gegenstand fehlt.	Ablenkungsgrenze für Animationen enthalten; zusätzlicher Feedback-Gegenstand fehlt.
G-IE-108	Das Design der App soll ein klares Branding aufweisen.	none	none	none	KEIN Claim zum klaren Branding	Klares Branding fehlt.	Klares Branding fehlt.
G-IE-109	Als noch nicht abschließend beschlossener Ablauf wird vorgeschlagen, beim Aufruf einer Seite Daten aus Firebase zu laden und lokal zu speichern, um wiederholtes Laden zu vermeiden.	partial	partial	partial	CAN-038 erfasst lokale Speicherung/Wiederverwendung als OFFENE Frage; der konkrete vorgeschlagene Ablauf 'beim Seitenaufruf laden und lokal speichern' fehlt	Offene lokale Speicherung/Laden als Teilkern vorhanden; konkrete Sequenz bei Seitenaufruf und Wiederverwendungszweck fehlen. Gemäß bestehender G-109-Lesart teilweise statt keine Abdeckung.	Offene lokale Zwischenspeicherung zur Vermeidung erneuten Ladens enthalten; Ladesequenz bei Seitenaufruf fehlt.
